phase,target_density,main_low_mult,main_high_mult,residual_enabled,residual_low_mult,recovery_axis_ratio,recovery_skeleton_length,recovery_branch_density,precision,recall,accuracy,f1,mean_precision,mean_recall,mean_accuracy,mean_f1,tp,fp,fn,tn,sample_count
recovery,0.105,1.35,0.55,True,1.1,2.6,12,0.15,0.5138418620778422,0.418530214725239,0.8760191433266347,0.461314426334277,0.508569172518238,0.44918995057052136,0.8792569069939209,0.46812224744869946,195616,185077,271772,3032370,10
recovery,0.105,1.35,0.55,True,1.1,2.6,18,0.1,0.5138418620778422,0.418530214725239,0.8760191433266347,0.461314426334277,0.508569172518238,0.44918995057052136,0.8792569069939209,0.46812224744869946,195616,185077,271772,3032370,10
recovery,0.105,1.35,0.55,True,1.1,2.6,18,0.15,0.5138418620778422,0.418530214725239,0.8760191433266347,0.461314426334277,0.508569172518238,0.44918995057052136,0.8792569069939209,0.46812224744869946,195616,185077,271772,3032370,10
recovery,0.105,1.35,0.55,True,1.1,2.6,24,0.1,0.5138418620778422,0.418530214725239,0.8760191433266347,0.461314426334277,0.508569172518238,0.44918995057052136,0.8792569069939209,0.46812224744869946,195616,185077,271772,3032370,10
recovery,0.105,1.35,0.55,True,1.1,2.6,24,0.15,0.5138418620778422,0.418530214725239,0.8760191433266347,0.461314426334277,0.508569172518238,0.44918995057052136,0.8792569069939209,0.46812224744869946,195616,185077,271772,3032370,10
recovery,0.105,1.35,0.55,True,1.22,2.0,12,0.1,0.49952949949399,0.42137367668831893,0.8730583594652135,0.4571350979343096,0.4941638820619132,0.45327529955134,0.8762954693725835,0.4645287515151992,196945,197316,270443,3020131,10
recovery,0.105,1.35,0.55,True,1.22,2.0,12,0.15,0.49952949949399,0.42137367668831893,0.8730583594652135,0.4571350979343096,0.4941638820619132,0.45327529955134,0.8762954693725835,0.4645287515151992,196945,197316,270443,3020131,10
recovery,0.105,1.35,0.55,True,1.22,2.0,18,0.1,0.49952949949399,0.42137367668831893,0.8730583594652135,0.4571350979343096,0.4941638820619132,0.45327529955134,0.8762954693725835,0.4645287515151992,196945,197316,270443,3020131,10
recovery,0.105,1.35,0.55,True,1.22,2.0,18,0.15,0.49952949949399,0.42137367668831893,0.8730583594652135,0.4571350979343096,0.4941638820619132,0.45327529955134,0.8762954693725835,0.4645287515151992,196945,197316,270443,3020131,10
recovery,0.105,1.35,0.55,True,1.22,2.0,24,0.1,0.49952949949399,0.42137367668831893,0.8730583594652135,0.4571350979343096,0.4941638820619132,0.45327529955134,0.8762954693725835,0.4645287515151992,196945,197316,270443,3020131,10
recovery,0.105,1.35,0.55,True,1.22,2.0,24,0.15,0.49952949949399,0.42137367668831893,0.8730583594652135,0.4571350979343096,0.4941638820619132,0.45327529955134,0.8762954693725835,0.4645287515151992,196945,197316,270443,3020131,10
recovery,0.105,1.35,0.55,True,1.22,2.3,12,0.1,0.5028432356072394,0.4203937627838113,0.8737620544746237,0.45793693336751584,0.4985937246193843,0.45110807209232134,0.8771216765528365,0.46520428788300017,196487,194265,270901,3023182,10
recovery,0.105,1.35,0.55,True,1.22,2.3,12,0.15,0.5028432356072394,0.4203937627838113,0.8737620544746237,0.45793693336751584,0.4985937246193843,0.45110807209232134,0.8771216765528365,0.46520428788300017,196487,194265,270901,3023182,10
recovery,0.105,1.35,0.55,True,1.22,2.3,18,0.1,0.5028432356072394,0.4203937627838113,0.8737620544746237,0.45793693336751584,0.4985937246193843,0.45110807209232134,0.8771216765528365,0.46520428788300017,196487,194265,270901,3023182,10
recovery,0.105,1.35,0.55,True,1.22,2.3,18,0.15,0.5028432356072394,0.4203937627838113,0.8737620544746237,0.45793693336751584,0.4985937246193843,0.45110807209232134,0.8771216765528365,0.46520428788300017,196487,194265,270901,3023182,10
recovery,0.105,1.35,0.55,True,1.22,2.3,24,0.1,0.5028432356072394,0.4203937627838113,0.8737620544746237,0.45793693336751584,0.4985937246193843,0.45110807209232134,0.8771216765528365,0.46520428788300017,196487,194265,270901,3023182,10
recovery,0.105,1.35,0.55,True,1.22,2.3,24,0.15,0.5028432356072394,0.4203937627838113,0.8737620544746237,0.45793693336751584,0.4985937246193843,0.45110807209232134,0.8771216765528365,0.46520428788300017,196487,194265,270901,3023182,10
recovery,0.105,1.35,0.55,True,1.22,2.6,12,0.1,0.5092338427211167,0.41993803863171497,0.8750907435475401,0.4602951626255543,0.5031077397970793,0.4503562836122904,0.8781154726053666,0.46623825446267037,196274,189156,271114,3028291,10
recovery,0.105,1.35,0.55,True,1.22,2.6,12,0.15,0.5092338427211167,0.41993803863171497,0.8750907435475401,0.4602951626255543,0.5031077397970793,0.4503562836122904,0.8781154726053666,0.46623825446267037,196274,189156,271114,3028291,10
recovery,0.105,1.35,0.55,True,1.22,2.6,18,0.1,0.5092338427211167,0.41993803863171497,0.8750907435475401,0.4602951626255543,0.5031077397970793,0.4503562836122904,0.8781154726053666,0.46623825446267037,196274,189156,271114,3028291,10
recovery,0.105,1.35,0.55,True,1.22,2.6,18,0.15,0.5092338427211167,0.41993803863171497,0.8750907435475401,0.4602951626255543,0.5031077397970793,0.4503562836122904,0.8781154726053666,0.46623825446267037,196274,189156,271114,3028291,10
recovery,0.105,1.35,0.55,True,1.22,2.6,24,0.1,0.5092338427211167,0.41993803863171497,0.8750907435475401,0.4602951626255543,0.5031077397970793,0.4503562836122904,0.8781154726053666,0.46623825446267037,196274,189156,271114,3028291,10
recovery,0.105,1.35,0.55,True,1.22,2.6,24,0.15,0.5092338427211167,0.41993803863171497,0.8750907435475401,0.4602951626255543,0.5031077397970793,0.4503562836122904,0.8781154726053666,0.46623825446267037,196274,189156,271114,3028291,10
recovery,0.105,1.35,0.55,True,1.35,2.0,12,0.1,0.48973658008496773,0.42199842529119275,0.8709155226760492,0.4533511697690802,0.4835243381869157,0.4537021354872136,0.8738093811190831,0.4596230319151367,197237,205504,270151,3011943,10
recovery,0.105,1.35,0.55,True,1.35,2.0,12,0.15,0.48973658008496773,0.42199842529119275,0.8709155226760492,0.4533511697690802,0.4835243381869157,0.4537021354872136,0.8738093811190831,0.4596230319151367,197237,205504,270151,3011943,10
recovery,0.105,1.35,0.55,True,1.35,2.0,18,0.1,0.48973658008496773,0.42199842529119275,0.8709155226760492,0.4533511697690802,0.4835243381869157,0.4537021354872136,0.8738093811190831,0.4596230319151367,197237,205504,270151,3011943,10
recovery,0.105,1.35,0.55,True,1.35,2.0,18,0.15,0.48973658008496773,0.42199842529119275,0.8709155226760492,0.4533511697690802,0.4835243381869157,0.4537021354872136,0.8738093811190831,0.4596230319151367,197237,205504,270151,3011943,10
recovery,0.105,1.35,0.55,True,1.35,2.0,24,0.1,0.48973658008496773,0.42199842529119275,0.8709155226760492,0.4533511697690802,0.4835243381869157,0.4537021354872136,0.8738093811190831,0.4596230319151367,197237,205504,270151,3011943,10
recovery,0.105,1.35,0.55,True,1.35,2.0,24,0.15,0.48973658008496773,0.42199842529119275,0.8709155226760492,0.4533511697690802,0.4835243381869157,0.4537021354872136,0.8738093811190831,0.4596230319151367,197237,205504,270151,3011943,10
recovery,0.105,1.35,0.55,True,1.35,2.3,12,0.1,0.49567392969442875,0.4209158129862127,0.8722271146469245,0.4552461922238523,0.49053308447453964,0.45167003830582875,0.8755486769651057,0.46229998228458147,196731,200165,270657,3017282,10
recovery,0.105,1.35,0.55,True,1.35,2.3,12,0.15,0.49567392969442875,0.4209158129862127,0.8722271146469245,0.4552461922238523,0.49053308447453964,0.45167003830582875,0.8755486769651057,0.46229998228458147,196731,200165,270657,3017282,10
recovery,0.105,1.35,0.55,True,1.35,2.3,18,0.1,0.49567392969442875,0.4209158129862127,0.8722271146469245,0.4552461922238523,0.49053308447453964,0.45167003830582875,0.8755486769651057,0.46229998228458147,196731,200165,270657,3017282,10
recovery,0.105,1.35,0.55,True,1.35,2.3,18,0.15,0.49567392969442875,0.4209158129862127,0.8722271146469245,0.4552461922238523,0.49053308447453964,0.45167003830582875,0.8755486769651057,0.46229998228458147,196731,200165,270657,3017282,10
recovery,0.105,1.35,0.55,True,1.35,2.3,24,0.1,0.49567392969442875,0.4209158129862127,0.8722271146469245,0.4552461922238523,0.49053308447453964,0.45167003830582875,0.8755486769651057,0.46229998228458147,196731,200165,270657,3017282,10
recovery,0.105,1.35,0.55,True,1.35,2.3,24,0.15,0.49567392969442875,0.4209158129862127,0.8722271146469245,0.4552461922238523,0.49053308447453964,0.45167003830582875,0.8755486769651057,0.46229998228458147,196731,200165,270657,3017282,10
recovery,0.105,1.35,0.55,True,1.35,2.6,12,0.1,0.5032019578850763,0.4223172182426592,0.8738407554205276,0.4592251712328767,0.49700464362891433,0.45423504745158594,0.8770179952831351,0.46607745564441583,197386,194874,270002,3022573,10
recovery,0.105,1.35,0.55,True,1.35,2.6,12,0.15,0.5032019578850763,0.4223172182426592,0.8738407554205276,0.4592251712328767,0.49700464362891433,0.45423504745158594,0.8770179952831351,0.46607745564441583,197386,194874,270002,3022573,10
recovery,0.105,1.35,0.55,True,1.35,2.6,18,0.1,0.5032019578850763,0.4223172182426592,0.8738407554205276,0.4592251712328767,0.49700464362891433,0.45423504745158594,0.8770179952831351,0.46607745564441583,197386,194874,270002,3022573,10
recovery,0.105,1.35,0.55,True,1.35,2.6,18,0.15,0.5032019578850763,0.4223172182426592,0.8738407554205276,0.4592251712328767,0.49700464362891433,0.45423504745158594,0.8770179952831351,0.46607745564441583,197386,194874,270002,3022573,10
recovery,0.105,1.35,0.55,True,1.35,2.6,24,0.1,0.5032019578850763,0.4223172182426592,0.8738407554205276,0.4592251712328767,0.49700464362891433,0.45423504745158594,0.8770179952831351,0.46607745564441583,197386,194874,270002,3022573,10
recovery,0.105,1.35,0.55,True,1.35,2.6,24,0.15,0.5032019578850763,0.4223172182426592,0.8738407554205276,0.4592251712328767,0.49700464362891433,0.45423504745158594,0.8770179952831351,0.46607745564441583,197386,194874,270002,3022573,10
baseline,0.09,1.28,0.5,True,1.22,2.3,,0.12,0.555750376063147,0.3770507586844335,0.8827543160005807,0.4492835463594773,0.5497190182680927,0.40477333365653223,0.8862203359504084,0.45861892230225126,176229,140872,291159,3076575,10
