clahe1_clip,clahe1_tile,median,clahe2_clip,clahe2_tile,target_density,keep_top,close_ksize,mean_dice,mean_iou,mean_precision,mean_sensitivity
6.0,16,7,7.0,12,0.19,3,0,0.4508214705205196,0.29360374747411655,0.3677645438971107,0.6004967421859397
6.0,16,7,7.0,12,0.19,3,3,0.45060190001091915,0.29342585252719144,0.3668358391258396,0.6021372427895144
6.0,16,7,7.0,12,0.19,3,5,0.44924459016672286,0.29227180594437857,0.3625085054738985,0.6085382345706185
6.0,16,5,8.0,12,0.19,3,5,0.4490275950852613,0.2916160486143802,0.37122225981003776,0.5829454322856995
6.0,16,5,8.0,12,0.19,3,0,0.44895718722746814,0.29157391941929833,0.37642262868492177,0.5710628356933793
6.0,16,5,8.0,12,0.19,3,3,0.4488752039267769,0.2915087491317231,0.37546527765855076,0.5729340381693189
6.0,16,7,7.0,12,0.2,3,0,0.44294529732905186,0.2869051620755056,0.3524827091666827,0.6141138807200677
6.0,16,7,7.0,12,0.2,3,3,0.4426524012087737,0.28666943939883305,0.35151379387546206,0.6158745947306266
6.0,16,7,7.0,12,0.2,3,5,0.4409381749705562,0.2852348916725497,0.3471184295894184,0.6222656195851823
6.0,16,5,8.0,12,0.2,3,0,0.4373671429667553,0.28176163931020354,0.3559602246334571,0.5827359184256924
6.0,16,5,8.0,12,0.2,3,3,0.4371755165970569,0.2816119981197859,0.3549262417899993,0.5847403212990852
6.0,16,5,8.0,12,0.2,3,5,0.43700536902675513,0.2814728835544452,0.3506866171299463,0.5952476443431911
