method,dice,sensitivity,precision
gabor_c6_median7_DTD50h85,0.26872714888710064,0.8257886706488131,0.1656585621598311
gabor_c6_inv_median7_DTD50h85,0.26872714888710064,0.8257886706488131,0.1656585621598311
almeida_c6_DTD50h92,0.26830125454940656,0.7779008574141424,0.16851556974776438
almeida_c6_DTD50h90,0.26385167889388805,0.7797296907195455,0.16482518571039362
z_fuse_all_Hyst,0.2606466517362308,0.6613615914002546,0.24069223183699384
almeida_c6_DTD50h85,0.2566279271447791,0.7820956318686715,0.15914706364281678
gabor_c6_DTD60h92,0.25182224841827416,0.7647356309507553,0.1589763772752537
gabor_c6_inv_DTD60h92,0.25182224841827416,0.7647356309507553,0.1589763772752537
gabor_c6_DTD60h90,0.25151598521680496,0.7647548361131029,0.15871218549436777
gabor_c6_inv_DTD60h90,0.25151598521680496,0.7647548361131029,0.15871218549436777
gabor_c6_DTD60h85,0.2504986891500358,0.7648745655259332,0.15783289074546253
gabor_c6_inv_DTD60h85,0.2504986891500358,0.7648745655259332,0.15783289074546253
z_fuse_c6_best_DTD50h92,0.2497950537316262,0.8041011068287398,0.15351678602986973
z_fuse_c6_best_DTD50h90,0.24923201244897297,0.8041011068287398,0.1531341353034929
z_fuse_c6_best_DTD50h85,0.2470837212259589,0.8043671595702243,0.1515263447863839
z_fuse_gabor2_DTD60h92,0.24021555071681733,0.7893449609274582,0.14994253170111094
z_fuse_all_DTD60h92,0.2400897387692162,0.7500719759439124,0.1541574226496522
z_fuse_gabor2_DTD60h90,0.2399912299507826,0.789476382953005,0.14978461792271502
gabor_c6_median7_DTD40h90,0.2395835908021271,0.866248465140012,0.14286339838024012
gabor_c6_median7_DTD40h92,0.2395835908021271,0.866248465140012,0.14286339838024012
gabor_c6_inv_median7_DTD40h90,0.2395835908021271,0.866248465140012,0.14286339838024012
gabor_c6_inv_median7_DTD40h92,0.2395835908021271,0.866248465140012,0.14286339838024012
z_fuse_gabor3_DTD60h92,0.23953256871152476,0.7924735172998251,0.1494391088501832
z_fuse_gabor3_DTD60h90,0.23951489099041623,0.7924735172998251,0.14942713877072503
z_fuse_gabor2_DTD60h85,0.23941870624753994,0.7894999212262372,0.14932605146330818
gabor_c6_median7_DTD40h85,0.23892583701335962,0.866248465140012,0.1424385450300896
gabor_c6_inv_median7_DTD40h85,0.23892583701335962,0.866248465140012,0.1424385450300896
z_fuse_gabor3_DTD60h85,0.2389078297624143,0.7924735172998251,0.14894886760238438
z_fuse_all_DTD60h90,0.2385973026284903,0.7507121538376322,0.15269278356677704
z_fuse_coh_Hyst,0.23647807250723102,0.5800823827311796,0.18957445338465956
gabor_raw_clahe_DTD60h92,0.2347394246380512,0.8060757923468145,0.1460923672629248
z_fuse_all_DTD60h85,0.23465450407934269,0.7517363878270031,0.14879963325681606
z_fuse_coh_DTD60h92,0.2346400760771903,0.6300339669125358,0.15117721572327497
gabor_raw_clahe_DTD60h90,0.234612968634689,0.8060757923468145,0.14600431129497032
gabor_raw_clahe_DTD60h85,0.23412172102215303,0.8062063535947843,0.14557236850948718
z_fuse_coh_DTD60h90,0.23346980834531425,0.6306810663251721,0.15010418088893598
almeida_c6_DTD40h92,0.23315106027399807,0.8287582310071817,0.13975692972914577
almeida_c6_DTD40h90,0.23206964809396752,0.829012739128282,0.13900079789828615
z_fuse_coh_DTD60h85,0.23125017141988102,0.6317486296326429,0.14811532468545846
almeida_c6_DTD40h85,0.22921055589611272,0.8296763865362458,0.13695494058316526
gabor_c6_DTD50h90,0.2257912939238748,0.8085072770788185,0.13654779271415554
gabor_c6_DTD50h92,0.2257912939238748,0.8085072770788185,0.13654779271415554
gabor_c6_inv_DTD50h90,0.2257912939238748,0.8085072770788185,0.13654779271415554
gabor_c6_inv_DTD50h92,0.2257912939238748,0.8085072770788185,0.13654779271415554
gabor_c6_DTD50h85,0.22556475822903488,0.808570045807438,0.13637354032475502
gabor_c6_inv_DTD50h85,0.22556475822903488,0.808570045807438,0.13637354032475502
z_fuse_c6_best_DTD40h92,0.22264831213923567,0.8467782967966195,0.13210934670490845
z_fuse_c6_best_DTD40h90,0.2224670074519154,0.8467782967966195,0.1319922327266236
z_fuse_c6_best_DTD40h85,0.22211479312568527,0.8468489664044516,0.13173493556297636
gabor_raw_green_DTD60h90,0.2193027255808892,0.839415359533113,0.13445587296025086
gabor_raw_green_DTD60h92,0.2193027255808892,0.839415359533113,0.13445587296025086
gabor_raw_green_DTD60h85,0.21902441939051104,0.839439851697555,0.13422286761067037
z_fuse_all_DTD50h92,0.21808764006709053,0.7978372497714081,0.1331547436713275
z_fuse_gabor2_DTD50h90,0.21804076222941143,0.8292758711417114,0.1310417302506141
z_fuse_gabor2_DTD50h92,0.21804076222941143,0.8292758711417114,0.1310417302506141
z_fuse_gabor2_DTD50h85,0.21799579030632432,0.8292758711417114,0.1310030650774131
z_fuse_gabor3_DTD50h90,0.21768127529701883,0.8319060156919375,0.13076931336714948
z_fuse_gabor3_DTD50h92,0.21768127529701883,0.8319060156919375,0.13076931336714948
z_fuse_gabor3_DTD50h85,0.2176355329298062,0.8319060156919375,0.13073020112935912
z_fuse_all_DTD50h90,0.21761676627865867,0.7979345032779556,0.13273336697554455
z_fuse_all_DTD50h85,0.21600284187744212,0.7982826965118207,0.13127530726473866
gabor_c6_median7_Hyst,0.21544507713352384,0.8989896937741653,0.12508463176250498
gabor_c6_inv_median7_Hyst,0.21544507713352384,0.8989896937741653,0.12508463176250498
z_fuse_coh_DTD50h92,0.21462582818971804,0.6994850694862838,0.13137049512956572
z_fuse_coh_DTD50h90,0.21444612728656237,0.6996687560335557,0.13121926100464093
gabor_raw_clahe_DTD50h90,0.21422685006014885,0.8429525186649717,0.12845976210141014
gabor_raw_clahe_DTD50h92,0.21422685006014885,0.8429525186649717,0.12845976210141014
gabor_raw_clahe_DTD50h85,0.21417398023922438,0.8429525186649717,0.12841568006588597
z_fuse_coh_DTD50h85,0.2139734794507068,0.7000146490759696,0.13083343108846615
gabor_c6_DTD40h85,0.2065811780184736,0.8461256292894532,0.12140231578591937
