dice,iou,precision,sensitivity,specificity,accuracy,pred_density,gt_density,image,source,method
0.2922440165556371,0.1711275026343119,0.23689584751523973,0.38134001252328253,0.9182706328375301,0.8847753906249711,0.100419921875,0.0623828125,14.png,RetCam,C6_Gabor_Fused_ElbowCln
0.33969113748981805,0.20459514802339063,0.37924601132245284,0.3076080150280173,0.9665007151883457,0.9253971354166365,0.05059895833333333,0.0623828125,14.png,RetCam,C6_Gabor_Fused_P10Cln
0.3592445812207233,0.21895072056991988,0.31200246125435066,0.42334585681464026,0.937889708230883,0.9057910156249704,0.08464518229166666,0.0623828125,14.png,RetCam,C6_Triple_P10
0.2294947304434782,0.12962103778485917,0.13618593587005,0.7289188060943806,0.6923856740129465,0.694664713541644,0.333896484375,0.0623828125,14.png,RetCam,C6_Triple_Hyst
0.0,0.0,0.0,0.0,0.9935390020691512,0.9315592447916363,0.006057942708333333,0.0623828125,14.png,RetCam,C6_Triple_HystCln
0.11335200746962808,0.06008116401067503,0.10255110660580226,0.1266958881234989,0.9262314432917785,0.8763541666666381,0.0770703125,0.0623828125,14.png,RetCam,C6_Triple_HystConn
0.3227685624012107,0.192441278624793,0.23572252668007027,0.5117407639321061,0.889607549056337,0.8660351562499717,0.1354296875,0.0623828125,14.png,RetCam,C6_Triple_Elbow
0.2957565538559766,0.17354125933425044,0.24032752658699016,0.3844187017322143,0.9191524670526976,0.8857942708333044,0.09978515625,0.0623828125,14.png,RetCam,C6_Triple_ElbowCln
0.34578013783743483,0.20902912952900693,0.3769088669948418,0.3194009601334171,0.9648689747114608,0.9246028645833032,0.05286458333333333,0.0623828125,14.png,RetCam,C6_Triple_P10Cln
0.3328165145742153,0.1996280058455694,0.28913947044323846,0.39203715299499475,0.9358725992583935,0.9019466145833039,0.08458333333333333,0.0623828125,14.png,RetCam,MultiFused_P10
0.23444734628832417,0.13278977876726109,0.14117559254084708,0.690930912126544,0.720347456567904,0.7185123697916432,0.30530924479166666,0.0623828125,14.png,RetCam,MultiFused_Hyst
0.0,0.0,0.0,0.0,0.9874668444221907,0.9258658854166365,0.011751302083333333,0.0623828125,14.png,RetCam,MultiFused_HystCln
0.11145654493988413,0.059017199017184524,0.10034255159156974,0.1253391776246476,0.9252315682761555,0.8753320312499715,0.07792317708333334,0.0623828125,14.png,RetCam,MultiFused_HystConn
0.3050808390134175,0.1799972801274105,0.22285563092311955,0.4834585681483597,0.8878299934730073,0.8626041666666385,0.13533203125,0.0623828125,14.png,RetCam,MultiFused_Elbow
0.27775562517795926,0.16127538532774113,0.21832184113900532,0.38165309956147897,0.9090842811314936,0.8761816406249714,0.109052734375,0.0623828125,14.png,RetCam,MultiFused_ElbowCln
0.31937548273189914,0.19003381150898138,0.33877574906347213,0.30207681068654657,0.9607722645780055,0.9196809895833034,0.055625,0.0623828125,14.png,RetCam,MultiFused_P10Cln
